node_id,size,date_min,date_max,avg_hpi,avg_yoy,avg_unemp,avg_mortgage,avg_cpi
cube0_cluster0,12,1991-09-30,1994-06-30,92.92,3.66,5.81,8.05,142.31
cube0_cluster1,2,1999-03-31,2001-09-30,127.4,5.21,3.6,6.92,171.18
cube0_cluster2,12,2001-12-31,2004-09-30,143.0,3.3,5.11,6.15,183.1
cube1_cluster0,4,1990-03-31,1990-12-31,85.87,0.2,4.55,10.13,130.66
cube1_cluster1,16,1991-06-30,1995-03-31,93.73,3.39,5.62,8.29,143.3
cube1_cluster2,26,1995-06-30,2001-09-30,116.23,4.74,3.39,7.51,164.08
cube1_cluster3,25,2001-12-31,2007-12-31,150.2,3.33,4.52,6.16,192.21
cube2_cluster0,4,1990-03-31,1990-12-31,85.87,0.2,4.55,10.13,130.66
cube2_cluster1,16,1991-06-30,1995-03-31,93.73,3.39,5.62,8.29,143.3
cube2_cluster2,26,1995-06-30,2001-09-30,116.23,4.74,3.39,7.51,164.08
cube2_cluster3,24,2001-12-31,2007-12-31,150.45,3.31,4.46,6.19,192.59
cube4_cluster0,11,1991-12-31,1994-06-30,93.38,3.85,5.87,7.94,142.83
cube4_cluster1,2,1999-03-31,2001-09-30,127.4,5.21,3.6,6.92,171.18
cube4_cluster2,12,2001-12-31,2004-09-30,143.0,3.3,5.11,6.15,183.1
cube4_cluster3,2,2009-06-30,2009-09-30,167.64,0.26,7.28,5.09,214.43
cube4_cluster4,35,2010-06-30,2019-06-30,175.79,1.84,4.82,4.06,235.68
cube5_cluster0,14,1991-12-31,1995-03-31,94.52,3.58,5.66,8.13,144.33
cube5_cluster1,26,1995-06-30,2001-09-30,116.23,4.74,3.39,7.51,164.08
cube5_cluster2,28,2001-12-31,2008-09-30,152.01,3.27,4.41,6.15,194.73
cube5_cluster3,2,2009-06-30,2009-09-30,167.64,0.26,7.28,5.09,214.43
cube5_cluster4,37,2010-06-30,2019-06-30,176.98,1.93,4.72,4.09,236.57
cube5_cluster5,4,2023-12-31,2024-09-30,312.72,4.7,3.36,6.89,311.6
cube6_cluster0,14,1991-12-31,1995-03-31,94.52,3.58,5.66,8.13,144.33
cube6_cluster1,26,1995-06-30,2001-09-30,116.23,4.74,3.39,7.51,164.08
cube6_cluster2,27,2001-12-31,2008-09-30,152.3,3.25,4.35,6.18,195.16
cube6_cluster3,17,2013-09-30,2019-06-30,184.85,2.8,4.01,4.22,244.12
cube6_cluster4,4,2023-12-31,2024-09-30,312.72,4.7,3.36,6.89,311.6
cube8_cluster0,12,2001-12-31,2004-09-30,143.0,3.3,5.11,6.15,183.1
cube8_cluster1,2,2009-06-30,2009-09-30,167.64,0.26,7.28,5.09,214.43
cube8_cluster2,38,2010-06-30,2020-03-31,178.29,2.05,4.68,4.02,237.41
cube8_cluster3,2,2020-12-31,2021-03-31,222.46,6.62,5.33,2.82,262.42
cube9_cluster0,28,2001-12-31,2008-09-30,152.01,3.27,4.41,6.15,194.73
cube9_cluster1,2,2009-06-30,2009-09-30,167.64,0.26,7.28,5.09,214.43
cube9_cluster2,40,2010-06-30,2020-03-31,179.27,2.11,4.6,4.06,238.15
cube9_cluster3,2,2020-12-31,2021-03-31,222.46,6.62,5.33,2.82,262.42
cube9_cluster4,10,2023-09-30,2025-12-31,320.53,4.83,3.32,6.76,315.8
cube10_cluster0,27,2001-12-31,2008-09-30,152.3,3.25,4.35,6.18,195.16
cube10_cluster1,20,2013-09-30,2020-03-31,188.25,3.05,3.88,4.13,246.14
cube10_cluster2,10,2023-09-30,2025-12-31,320.53,4.83,3.32,6.76,315.8
cube12_cluster0,31,2012-03-31,2020-03-31,181.32,2.87,4.33,3.91,240.87
cube12_cluster1,2,2020-12-31,2021-03-31,222.46,6.62,5.33,2.82,262.42
cube13_cluster0,33,2012-03-31,2020-03-31,182.32,2.9,4.26,3.96,241.56
cube13_cluster1,2,2020-12-31,2021-03-31,222.46,6.62,5.33,2.82,262.42
cube13_cluster2,10,2023-09-30,2025-12-31,320.53,4.83,3.32,6.76,315.8
cube14_cluster0,20,2013-09-30,2020-03-31,188.25,3.05,3.88,4.13,246.14
cube14_cluster1,10,2023-09-30,2025-12-31,320.53,4.83,3.32,6.76,315.8
