node_id,regime_label,start_date,end_date,num_quarters,avg_hpi,avg_qoq_growth_pct,avg_yoy_growth_pct,avg_unemployment_pct,avg_mortgage_rate_pct,avg_cpi
cube10_cluster0,Stagnant / Slow Recovery,1990-06-30,1990-09-30,2,86.39,0.63,0.57,4.47,10.21,130.42
cube4_cluster0,Stagnant / Slow Recovery,1990-06-30,1990-09-30,2,86.39,0.63,0.57,4.47,10.21,130.42
cube3_cluster0,Stagnant / Slow Recovery,1990-06-30,1990-09-30,2,86.39,0.63,0.57,4.47,10.21,130.42
cube9_cluster0,Stagnant / Slow Recovery,1990-06-30,1990-09-30,2,86.39,0.63,0.57,4.47,10.21,130.42
cube5_cluster0,Growth Despite Tight Credit,1991-12-31,1994-03-31,9,92.74,0.97,3.7,5.82,7.94,142.16
cube4_cluster1,Growth Despite Tight Credit,1991-12-31,1994-06-30,11,93.38,1.01,3.85,5.87,7.94,142.83
cube3_cluster1,Growth Despite Tight Credit,1991-12-31,1994-09-30,12,93.8,0.95,3.83,5.81,7.99,143.33
cube9_cluster1,Growth Despite Tight Credit,1995-06-30,2000-06-30,8,110.14,0.67,3.41,3.47,7.97,160.5
cube8_cluster0,Growth Despite Tight Credit,1995-06-30,2001-06-30,22,115.41,1.08,4.55,3.4,7.62,163.58
cube7_cluster0,Growth Despite Tight Credit,1995-06-30,2001-09-30,26,116.23,1.18,4.74,3.39,7.51,164.08
cube3_cluster2,Growth Despite Tight Credit,1995-06-30,2000-06-30,8,110.14,0.67,3.41,3.47,7.97,160.5
cube1_cluster0,Growth Despite Tight Credit,1995-06-30,2001-09-30,26,116.23,1.18,4.74,3.39,7.51,164.08
cube2_cluster0,Growth Despite Tight Credit,1995-06-30,2001-06-30,22,115.41,1.08,4.55,3.4,7.62,163.58
cube6_cluster0,Hot Labor + Housing Boom,1997-09-30,2001-09-30,12,120.7,1.46,5.6,3.33,7.12,166.92
cube0_cluster0,Hot Labor + Housing Boom,1997-09-30,2001-09-30,12,120.7,1.46,5.6,3.33,7.12,166.92
cube12_cluster0,Hot Labor + Housing Boom,1998-03-31,2001-09-30,8,124.68,1.56,6.03,3.33,7.1,169.34
cube13_cluster0,Hot Labor + Housing Boom,1998-03-31,2001-09-30,12,125.58,1.51,5.67,3.17,7.41,170.29
cube14_cluster0,Hot Labor + Housing Boom,1999-03-31,2001-06-30,9,126.59,1.43,5.55,3.11,7.58,171.08
cube20_cluster0,Moderate Growth,2001-12-31,2006-03-31,18,146.11,0.77,3.23,4.81,6.07,187.17
cube18_cluster0,Moderate Growth,2001-12-31,2002-06-30,3,138.09,0.88,4.37,4.48,6.85,178.34
cube17_cluster0,Moderate Growth,2001-12-31,2002-06-30,3,138.09,0.88,4.37,4.48,6.85,178.34
cube21_cluster0,Moderate Growth,2001-12-31,2006-03-31,18,146.11,0.77,3.23,4.81,6.07,187.17
cube24_cluster0,Moderate Growth,2001-12-31,2008-06-30,27,151.48,0.8,3.34,4.44,6.15,193.84
cube23_cluster0,Moderate Growth,2001-12-31,2007-09-30,23,149.05,0.85,3.28,4.59,6.15,190.79
cube16_cluster0,Moderate Growth,2002-03-31,2002-06-30,2,138.36,0.56,3.57,4.68,6.89,178.77
cube19_cluster0,Moderate Growth,2002-03-31,2006-03-31,17,146.61,0.72,3.07,4.85,6.03,187.74
cube22_cluster0,Moderate Growth,2002-03-31,2006-06-30,18,147.12,0.69,3.06,4.79,6.06,188.49
cube29_cluster0,Healthy Expansion,2004-06-30,2008-06-30,17,156.95,0.78,3.2,3.98,6.13,200.82
